"geneid","foldChange","log2FoldChange","qvalue"
"RFC2",1.72198015850624,0.784068519395868,0.00792699149047618
"HSPA6",2.3422203969097,1.22787683611595,0.000780065387265204
"MMP14",1.51539973595547,0.599698401627353,0.00650451619655529
"PLD1",0.650040894376965,-0.62139761327087,0.000868529082981566
"ARF3",1.40940972860356,0.495091077577314,0.00210655645198931
"RPL24",0.701190437625403,-0.512121773183061,0.00192540605212712
"RPS27A",0.721261238617014,-0.471406201031204,0.00909255875198296
"EIF3F",0.676733228104739,-0.563340867201402,0.00255631472545182
"RPL34",0.56113202300252,-0.833587847186058,0.000566340153276024
"RPL9",0.726272773462048,-0.46141659761544,0.00164392871111619
"RPL10A",0.548057775513679,-0.867600106713489,0.000175951441542547
"RPS24",0.749792254880867,-0.415437171772263,0.00430235683291237
"HNRNPD",0.766239269067934,-0.384133130417883,0.00738374852907464
"RPL14",0.576742776388061,-0.794000065392861,0.000183733246980633
"GUK1",2.77053964367416,1.47016701072421,0.00211453342661681
"ATP6V0B",2.38185600167713,1.25208619576041,0.00122646623785308
"RPS7",0.709379686818133,-0.495370075787544,0.00259081613903739
"TCEB2",1.77021409465836,0.82392385444564,0.00950076218490907
"FNTA",0.74613189859444,-0.422497407265086,0.00438582467480102
"RPS25",0.647558192254312,-0.626918249726179,0.00203921973124327
"RPL37",0.708734155305732,-0.496683517837598,0.00269629056766039
"RPS10",0.750974553553357,-0.413164071414592,0.00739185519370277
"APP",0.65682814248692,-0.606412152673428,0.00239534076014402
"PRKAR1A",0.750031822188218,-0.414976287626583,0.00474224340428426
"RAD21",1.41676029007782,0.502595680930112,0.00205071386604244
"AP2B1",1.6138595506447,0.690515030657156,0.00464954412344944
"AP2M1",2.61743878442371,1.38815579639541,0.00371188936916956
"CLTC",1.4471357050681,0.533200216858447,0.0023527465156384
"TMEM59",0.703266825685681,-0.507855930400488,0.00949481174816422
"CSRP1",0.566021058471924,-0.82107236623329,0.00547185744244087
"CAP1",1.3839370895682,0.468778363039066,0.00116230978752321
"WARS",1.62036394506466,0.696317888893397,0.00314470467689953
"YWHAZ",1.65929874847025,0.730573659732116,0.000297221159298229
"MARCKSL1",1.60683788049103,0.684224377793237,0.00468650842829185
"NUCB1",2.09774449118017,1.06883896592485,0.00774925849268257
"LDHA",1.52323709477117,0.607140517549704,0.00994080641571939
"P4HB",3.73351593666193,1.90053488925466,0.0047223882550917
"S100A11",2.94253916313044,1.55706161664964,0.0009938818126763
"CTSA",2.50874501297556,1.32696584372039,0.00117306716266473
"SPTBN1",0.49905264146249,-1.00273609180726,5.93669732990367e-05
"RPL32",0.655802255613437,-0.608667231038787,0.000495791425711872
"GRN",2.61136786187306,1.38480570357862,0.00206256270173563
"SRSF11",0.623991301132658,-0.680402177819472,0.00496690931079218
"HSPA9",1.31626934917552,0.396454739041598,0.00827558245626818
"PPP2R1A",2.17829631608369,1.12320021882385,0.0029800139907498
"GSN",0.555529196691036,-0.848065358224467,0.00312468878582788
"KDELR2",1.49493755160957,0.580085219630792,0.000733245187967131
"RPL7",0.696983453424717,-0.520803688356738,0.00138823697383678
"ACTR1A",1.4033650182769,0.488890305868559,0.00241612171558163
"ACTR2",1.83396086459791,0.874962853189819,0.000410951524213751
"NACA",0.670081867869931,-0.577590725951964,0.00354792119373678
"GPX1",2.15262838409608,1.10609928341786,0.0056262102225822
"PGK1",1.84258803417139,0.881733549267926,4.29101809820899e-05
"RPS27",0.773524826056373,-0.370480499588425,0.00712350807473773
"GNB1",1.70738891967292,0.771791721853646,0.00627296986111829
"CALU",1.63614396815629,0.71029969999528,0.000155908226438045
"DPYSL2",0.355175072849551,-1.49339776189943,9.95018689439765e-06
"CTSD",4.51194922412938,2.17375083225157,0.000539368751654935
"FAM120A",1.32784488076823,0.409086620466834,0.00616646219990225
"LAMC1",0.707655555182996,-0.498880782245047,0.00776364735564069
"RPS15A",0.78293302093345,-0.353039203080304,0.00992112159170721
"STMN1",1.53233221817729,0.61572911551143,0.00478812928934169
"DAZAP2",0.783848015561114,-0.351354145205473,0.00854497108486275
"SPARCL1",0.301129836094622,-1.73154243679737,9.95018689439765e-06
"TMBIM6",1.41561277437405,0.501426685696732,0.00474893684173461
"LMAN2",1.68172650027942,0.749943098712023,0.00686716104312653
"HSPD1",1.31844233398026,0.398834471998786,0.00710889986065726
"RPL12",0.633830806862878,-0.657830312371102,0.00512493100093465
"CIRBP",0.480420024595965,-1.05763180899117,8.37208145108794e-05
"TPI1",1.79266709242377,0.842107597128672,0.00244878425639341
"PSMD2",1.70063030252163,0.766069549768075,0.00214208733783877
"SCD",3.14867858430303,1.65474649532703,0.000728284260761343
"RPS21",0.659695576938888,-0.600127662778727,0.00195855820016205
"CTSB",2.14480002760273,1.10084314300003,2.61879152005926e-05
"EPRS",1.82870474946314,0.870822165917929,0.000152975813211641
"PPP1CA",3.74282751086066,1.90412856280908,0.00195855820016205
"GNB2",2.58001250792419,1.36737805986421,0.00099257655431964
"H2AFZ",1.66626544060711,0.736618244246939,0.000789224621306311
"NCOR1",0.764194741614505,-0.387987764269637,0.00693108018650507
"FLNA",2.35164690300589,1.23367145748542,0.00653648457208844
"DHCR24",1.73916043179819,0.798391022629483,0.00753393633894466
"PSAP",1.75415533027461,0.810776503937047,0.00545191024954605
"EPAS1",0.480074397928543,-1.05867009487585,0.00142310385922569
"PSMD4",1.38067699842907,0.465375848728105,0.00434924207842816
"UQCRC2",0.74612956054541,-0.422501928043561,0.00533777498011781
"CKB",1.47897086762062,0.56459363488918,0.00552679023173994
