"X","X.1","","cor"
"ZAK","RPS6KA5","0.0122159998710438","0.17868879037014"
"ZAK","MAP3K4","0.0239567764235527","0.161247554941654"
"CNOT6","CNOT7","0.0078967291694636","0.189239523773885"
"CERS6","ASAH1","0.031560421584917","0.15363652580125"
"CREBBP","PTEN","1.95667661133658e-05","0.299854613997092"
"CREBBP","TCF7L2","0.000231088208391572","0.260146178928736"
"CREBBP","GNAI1","0.0230143476343336","0.162331020009772"
"CREBBP","TAB2","0.0224553290664034","0.162991896228064"
"BCL2","ROCK1","0.000108707146842413","0.272927889846062"
"MAPK11","DUSP9","0.000252529312491312","0.258599251791026"
"MAPK11","NGF","0.000777698316800191","0.238104980675851"
"MAPK11","IKBKE","8.44031728952643e-08","0.371282828759421"
"MAPK11","CPSF4","0.00858191731598712","0.187267945306328"
"EP300","RAP1B","0.00596412403978852","0.195758686479263"
"EP300","RCOR1","0.0337362436767823","0.151749109429647"
"CCL7","IL6R","0.00333262875505658","0.208683294325953"
"CCL7","IL22RA1","0.000600419288277809","0.242972564897548"
"CCL7","CCR7","4.04285953448102e-05","0.288790695535978"
"CCL7","ADRBK2","0.00102466762539333","0.232805423371868"
"CCL7","TNFRSF1B","0.00117171936350369","0.230185237530261"
"SMAD4","WASF1","0.00271432419294992","0.213067041618947"
"SMAD4","APPL1","1.86760239400119e-05","0.300549675593971"
"SMAD4","ATF2","2.07300843158009e-12","0.474718091760432"
"SMAD4","WEE1","2.42287567289168e-05","0.296643456068824"
"SMAD4","PPARG","4.77942296583933e-06","0.320139150237333"
"SMAD4","ACVR1","0.000170907532464071","0.265336166441084"
"TAF4B","PPARG","0.000570137789314362","0.243934628608936"
"ITGB8","ARHGEF7","0.0483424292329704","0.141220441357876"
"IL7","PTEN","0.00262139764820746","0.21380279476727"
"ITGB8","LIMK2","0.00465237432474375","0.201367829339689"
"ITGB8","FLT1","0.00816498979336844","0.188450177576981"
"ITGB8","TNF","0.0118549986014294","0.179431599040398"
"BTG3","C1D","0.000549866472199678","0.244605406259757"
"PPM1A","RASA1","0.00317219099369481","0.209745067579641"
"PPM1A","MAP2K1","0.0139019435169416","0.175456211923096"
"ELK4","CCNA1","9.24555965104989e-05","0.275591470268957"
"ELK4","HMGA2","0.00135973184412275","0.227243199174384"
"FZD3","COL4A6","0.0276781762198468","0.15729846374356"
"FZD3","CDKN1B","0.000711044872002464","0.239801949788772"
"ELK4","FZD3","0.0216882327827905","0.163922254934828"
"ELK4","TLN1","0.020847817700516","0.164974746886508"
"ELK4","SOS1","1.6902298055399e-05","0.302032405723577"
"ELK4","IL15","0.0135964820965317","0.176015397847286"
"ITGA2","ITGB8","0.00770926720704646","0.189805393287793"
"TAB2","NLK","0.0349045302595776","0.150777960291121"
"TAB2","FAS","0.00260634072363253","0.213924229996945"
"IQGAP2","ROCK1","0.000117007355336041","0.271708474353823"
"NCKAP1","WASF1","8.47771761680605e-08","0.371231452231176"
"GLUL","CAT","0.00360781263954779","0.206965254360798"
"TAOK3","RPS6KA5","0.00267856268253452","0.21334744218015"
"TAOK3","MAP3K4","0.00817926043909978","0.18840883538219"
"TAOK3","HSPA6","0.0255894492073909","0.159454453158365"
"TAOK3","DUSP2","0.0270857653629162","0.157895382570848"
"HLA-C","HLA-B","1e-30","0.922254177387734"
"SMAD2","STAG1","0.00147511470586714","0.225617253873011"
"PARD6B","ASH1L","0.000247436450241612","0.25895529538025"
"PARD6B","TJP1","0.0128265605215363","0.177475302326852"
"PARD6B","RAB11FIP2","0.0316712861537254","0.153537721493"
"PARD6B","EEA1","0.00702685221847599","0.191974373527891"
"ATP6V0A2","LYN","0.00202830096548134","0.219148538407492"
"ATP6V0A2","APAF1","0.0375043296056354","0.148711926688977"
"IL10","TGFBR1","0.00231499419107761","0.21640888426275"
"PDE3B","PDE8A","1.40211876642482e-06","0.336661786353931"
"PDE3B","SOCS3","0.0160232698882856","0.171844998678731"
"PDE3B","CCNA1","0.000505960228345259","0.246140354261891"
"CTSA","NPC2","4.62219818118115e-05","0.286698073116838"
"UBQLN2","UBE2D2","3.5527136788005e-15","0.523670750856061"
"CTSA","GNS","0.00121380309874586","0.229490951418127"
"CTSA","CTSS","6.95038368769829e-06","0.314893688532455"
"NLK","GSK3B","0.000290133573892515","0.256159851656774"
"MPP5","PPP2R2A","5.27337090052704e-05","0.284622321184661"
"PRKAG2","CREB1","0.000444584888788624","0.248506717198154"
"CHEK1","DVL3","0.0174689444618119","0.169616278003419"
"CCNT2","ETV1","0.0218671542632642","0.163702742883384"
"CCNT2","RUNX1T1","0.0498186682927291","0.140311994439522"
"CCNT2","KDM6A","0.000195019740183655","0.263078683099983"
"GNB5","RBL2","0.00498326566933938","0.199830621167926"
"GNB5","ITPR1","1.43690692233633e-07","0.365035171174547"
"GNB5","PDE8A","0.00191525879129495","0.220326784194313"
"GNB5","RPS6KA5","0.0126946855217289","0.177733039746597"
"GNB5","PPP2R2A","0.000249779086158863","0.258790682136299"
"GNB5","LAMA3","3.86370986316109e-08","0.380225645906362"
"GNB5","FLT1","0.000401834342560026","0.250341055998804"
"GNG12","APP","1.59575910791965e-05","0.302883326857418"
"GNG12","LAMC1","5.05743447121176e-10","0.425524512224914"
"JUN","PTEN","0.000819894531191245","0.237098684185889"
"JUN","ANAPC10","0.00287324995135041","0.21186008169877"
"NUP37","PAIP1","0.0468852278468124","0.142140139036626"
"ROCK1","VCL","0.018562957924861","0.168034031589625"
"ROCK1","MYH10","3.39937788946809e-05","0.291475456202507"
"ROCK1","MYC","0.0111010918430212","0.18104936711995"
"PKN2","SOS1","0.00973655082101099","0.18424131170317"
"PKN2","WASL","2.34248017694227e-06","0.329864132300951"
"FZD7","IL6","0.0203517526567427","0.165613338577763"
"NCOR1","IL6","0.00182909341525983","0.221268245646581"
"STAG1","RBL2","0.0038437372902469","0.2055840400773"
"STAG1","CDC23","0.0243439632439368","0.1608130319333"
"CCND2","SOCS5","0.00310341761421018","0.210215148004149"
"CCND2","MEF2C","9.4450579800176e-05","0.275241871189145"
"CCND2","CRTC3","2.65461932591471e-06","0.32818231724874"
"CCND2","IRAK4","0.000343892719078198","0.25313988348587"
"OSMR","IL6","0.0317926486703126","0.153429898085327"
"OSMR","TNFSF9","0.000416502046416412","0.249692138939674"
"OSMR","FAS","0.0254550669068587","0.159598269123034"
"MET","JMJD1C","0.000138327917244885","0.268912691318525"
"MET","VEGFC","1.29816291050133e-09","0.41623562582754"
"MET","PPARG","0.00113117951647945","0.230876021811942"
"MET","PTPRM","0.0447034714301711","0.143562794149726"
"MET","KIT","4.84914897331823e-05","0.285945043546101"
"HNRNPUL1","KPNA2","0.0348801308753917","0.150797958824869"
"HNRNPUL1","HSPA6","0.00580699983016242","0.196368589583981"
"PLA2G12A","CHPT1","0.0378852855414045","0.148419429500871"
"EDNRA","CALD1","1e-30","0.621329113551909"
"SAR1B","DNAJA2","0.0353736845299859","0.150395710412157"
"SOS1","PIP4K2A","0.0017404232327034","0.222280275475455"
"SOS1","YWHAQ","0.00118891321906744","0.229898859073094"
"SOS1","SOCS5","3.52544802240118e-06","0.324330398385092"
"SOS1","IRAK4","0.0222682884824681","0.163216186494545"
"SOS1","ITGB8","1.12025411169725e-09","0.4177067954019"
"SOS1","PDE3B","1.22014803594084e-07","0.366969431133781"
"SOS1","MAP3K2","0.00621147499477726","0.194827057990071"
"SOS1","COL4A1","0.0255845376317088","0.159459698100127"
"SOS1","MAP3K7","4.98846128138553e-06","0.319544498529294"
"SOS1","LAMC1","0.00112484502280519","0.230986004675024"
"SOS1","E2F3","4.31093375725666e-05","0.287789517291029"
"SOS1","CD48","0.00175482117388648","0.222112792866087"
"SOS1","PIP5K1B","6.9489756846508e-06","0.314896553354005"
"SOS1","SOCS3","0.00818069842141078","0.18840467308714"
"SOS1","CCNA1","4.44805287080907e-05","0.287299864884286"
"SOS1","ABI2","0.0028577723716352","0.211974930489437"
"SOS1","IRF1","0.000538193039592461","0.245002125042725"
"SOS1","CXCL6","0.0231204564931156","0.162207142597417"
"SOS1","MAP3K4","0.0244024321109015","0.160747932268402"
"SOS1","FLT1","1.2592948615886e-05","0.30635900946911"
"SOS1","MAP3K14","0.00538783207157989","0.198071000103893"
"SOS1","HSPA6","0.00380185174458791","0.205823571490782"
"SOS1","TNF","0.000387197153014052","0.25101089167272"
"SOS1","DUSP2","7.54431503797726e-05","0.278898222401527"
"DUSP7","NGF","0.0348888432654448","0.150790816504773"
"ERG","AFF1","1.06618548090243e-05","0.308776210542627"
"SYNJ1","ITPR1","0.00727154879468594","0.191175887911195"
"AMPD2","POLR3G","3.63158392246987e-11","0.450076725917114"
"PRKACB","ATP6V1B2","0.000286731113471106","0.25636807818397"
"PRKACB","RASA1","2.43631781415843e-10","0.432532241476756"
"MDM4","CCND1","0.0256876290016783","0.159349790397718"
"CUL3","CUL1","0.000117590675763779","0.271625850744724"
"IL1RAP","PDGFD","0.00480980149603849","0.20062464056684"
"CRK","MAP3K2","0.0358706929459207","0.149995420100512"
"CRK","ABI2","0.0417362979024025","0.145593952701585"
"CRK","RASA1","0.0101105282455571","0.183329050340416"
"RAB7A","IQSEC1","0.042348689342302","0.14516504342421"
"RELN","FGF7","1.47797574179265e-09","0.414934931442567"
"LYN","MYD88","1.27731524754982e-05","0.306151700598748"
"FGF7","RARB","1e-30","0.619648646039678"
"FGF7","APC","8.27560242555592e-13","0.482220096362965"
"RAB11FIP2","ADRB2","0.00424010917574824","0.203426868371804"
"RAD23B","UBE2D3","0.000333006598482122","0.25371417255678"
"RAD23B","DNAJA2","0.000683102620375076","0.240557368735943"
"RBL2","LAMA3","7.98014986003182e-06","0.31293313085069"
"DGKE","ITPK1","0.00550531400600218","0.197582221672659"
"VEGFA","E2F3","8.35664459142293e-06","0.312275851854245"
"COL4A1","PDGFB","1.22133977895622e-05","0.306804997737874"
"COL4A1","LAMC1","1.22701848681572e-12","0.47902563590993"
"COL4A1","COL3A1","3.46167539078124e-13","0.489176396606079"
"COL4A1","AKT3","0.000675889600825652","0.240756998214108"
"COL4A1","RUNX1T1","0.0201262578992751","0.165908085087215"
"COL4A1","BMP2","0.00115038822049618","0.230545930289749"
"MAPK9","CDKN1B","0.00216904947673102","0.217762366648444"
"MAPK9","RASA1","1.75089540763729e-05","0.301509381469179"
"MAPK9","CCND1","0.00191658629978297","0.220312583874925"
"MAPK9","ERBB3","0.00169207988689557","0.222852026227266"
"YOD1","HSPA6","0.0485966537277194","0.141062364828791"
"PDGFB","SSH1","4.90691506538354e-07","0.350084307044798"
"PDGFB","IL12A","1.3712791730125e-05","0.305113656525502"
"GNAI1","GNG10","0.0415359127599193","0.145735447099518"
"GNAI1","ARHGAP5","3.2343461193296e-05","0.292241203009149"
"PHLPP2","FLT1","5.31574784190525e-13","0.48577176671792"
"IL15","ATP6V1B2","0.00905256425689327","0.185993108162048"
"IL15","CHUK","0.000290543460855108","0.256134920436791"
"IL15","TNFSF9","0.000751034729952638","0.238767111585299"
"IL15","FZD10","0.00820124548830981","0.188345269669355"
"IL15","TNFRSF1B","7.18003434485581e-12","0.464267311112713"
"THBS1","COL4A5","0.0181827419457243","0.168574515248987"
"ADRB1","ITGB8","0.0104546907512366","0.182515491097523"
"CDKN1B","CD46","1.51416774070157e-05","0.303657498584143"
"ADRB1","SMAP1","0.0226031679708971","0.162815752181598"
"CDKN1B","FUT8","1.1193144109356e-06","0.339594999238823"
"CDKN1B","KAT2B","0.00135232666251084","0.227351813256949"
"EFNB2","DPYSL2","0.0328266132159407","0.152525207811985"
"TAOK1","GRB2","0.000934532339067706","0.234587895598693"
"NUP98","SENP2","8.15717865603194e-05","0.277633086541186"
"RABEP1","IQSEC1","0.0159817077797524","0.171911626464876"
"RABEP1","ERBB3","0.00326601736568533","0.209118393396054"
"RABEP1","TSG101","0.00582804375653279","0.196286054291982"
"NEDD4","IQSEC1","0.0268750819041241","0.158110365949551"
"IGF1R","RPS6KB2","0.0450434085835809","0.143337366298688"
"CDK2","MCM3","4.35207425653061e-14","0.505113176672638"
"ITPR1","PIKFYVE","1.95020135596025e-07","0.361387723721706"
"ITPR1","PPP2R5C","1.13004064705713e-06","0.339471422837756"
"ITPR1","PTEN","0.00108013407739382","0.231778865928376"
"ITPR1","PRKACB","0.00049923360490256","0.246386326036163"
"ITPR1","GNAL","1.84789036516975e-07","0.362034535625784"
"ITPR1","SHANK2","0.00672248445960166","0.193002900502554"
"ITPR1","RPS6KA5","0.00175297903730631","0.222134151246726"
"ITPR1","MAP3K4","9.55124465074064e-07","0.341642633110219"
"ITPR1","PPP2R2A","6.48406901282428e-07","0.346581838714282"
"CD80","AKT3","0.000859092263461037","0.236205735320188"
"CD80","MYD88","0.00744195551700355","0.190633837628548"
"CD80","IL15","1.15608006057144e-07","0.367604669409833"
"CD80","ABL2","1.21326504398667e-10","0.439075237348764"
"CD80","DMD","0.00112931022666052","0.230908418539123"
"CD80","LTA","1e-30","0.613603537079835"
"MAP3K1","MKNK2","0.0151638355844221","0.173254524067857"
"GLI2","APC","1.08357767203415e-13","0.498199060473475"
"IL6","DMD","1.57425183999749e-11","0.457476167392972"
"IL6","FAS","5.33503907718114e-10","0.425005443730168"
"IL6","BMP2","7.67582827387869e-06","0.313486274403817"
"IL6","NGF","0.0255335112773651","0.159514238987893"
"IL6","EGR3","1.92570404067283e-11","0.455708512003698"
"SSX2IP","MAP3K7","1.78327561606295e-08","0.388817830066637"
"LAMC1","RB1","0.00530851449717185","0.198406425686087"
"LAMC1","VCL","6.95932609318106e-08","0.37351613073255"
"LAMC1","AKT3","4.9737991503207e-13","0.48630465666057"
"LAMC1","FLT1","2.46563660599719e-07","0.358556081749281"
"LAMC1","TCF7L1","0.00581459817880692","0.196338757678198"
"TGFB2","BMPR2","0.00102091744189314","0.232876658855351"
"TGFB2","RUNX1T1","0.000245757330596508","0.259074179219214"
"TGFB2","SMAD7","4.86405553168368e-07","0.350193871085327"
"PDE7B","PDE3B","0.000194302473369712","0.263141982387126"
"LGR4","EDNRB","2.63282085022354e-09","0.409077283271258"
"TNFRSF10B","SOCS3","0.00760142347587278","0.190136496650011"
"TNFRSF10B","FLT1","0.00326526535894667","0.209123351053988"
"MAP3K2","MAP3K7","1.37699578894868e-06","0.336898324583282"
"POM121C","SENP2","0.000937842527678256","0.234519693026847"
"BUB1","PIK3CD","0.0482548531358007","0.141275056533481"
"BMPR2","SMAD7","0.0188387317925134","0.16764799675156"
"BMPR2","SP1","0.00557156168022743","0.197310705190944"
"RAB5A","STX12","0.000245077407970307","0.259122533781106"
"SOCS2","TSC1","6.77498464631832e-05","0.280630498021335"
"MAP3K7","NF1","0.000661339152354667","0.241165753167192"
"MAP3K7","TCF7L1","0.000969960612927867","0.233869187317744"
"MAP3K7","IRAK4","0.00843668014117172","0.187673875003003"
"MAP3K7","POLR3G","0.00746581692010229","0.190558820139585"
"MAP3K7","CCNA1","0.0127546538845507","0.177615547096739"
"MAP3K7","RPS6KA5","0.0247373721705872","0.160377571554594"
"POLE3","E2F1","0.0217187562097683","0.163884696523198"
"MKNK2","PRKCZ","0.008768940092172","0.186754109431912"
"GNPTAB","CTSS","3.71311226698978e-06","0.323620512717953"
"GNPTAB","NPC2","0.000604639117598893","0.242842072630334"
"AP4E1","CTSS","0.0410101825160945","0.146109416985817"
"VCL","AKT3","6.72101709753292e-06","0.315367797111091"
"UBQLN4","WFS1","0.0235907689912271","0.161663901573328"
"JMJD1C","ATF1","6.66133814775094e-16","0.535064702046883"
"JMJD1C","PPARG","0.000527550017523026","0.245370820247268"
"JMJD1C","KDM6A","0.0190550119537236","0.167348659109352"
"MCM3","E2F1","9.35740374075067e-12","0.461992957486274"
"MCM3","RBL1","4.2812506428902e-08","0.379066457071938"
"MCM3","CDC25A","2.10863992933241e-10","0.433899369593239"
"MCM3","E2F2","0.0243779846106358","0.16077513595933"
"MCM3","E2F5","7.24797473252714e-05","0.279544949116028"
"MCM3","CUL1","0.0260771616189679","0.15893789003417"
"PTMA","POLR3G","4.87605849475159e-07","0.350163094452938"
"PTMA","MAP3K14","0.00274899228545511","0.2127983934992"
"FZD10","FGF2","0.00505514550593844","0.199508845891566"
"RPS6KA5","MAP3K4","0.010502024263261","0.182405456404537"
"RPS6KA5","ATF2","0.00830788770186297","0.188039063946961"
"CREB1","SP1","0.0021054416109314","0.218378355573018"
"CREB1","CREB3L2","0.0268692668999753","0.158116320080041"
"ACSL4","CAT","1.94600735374806e-05","0.29993627321587"
"ACSL4","AKT3","6.86104339386873e-06","0.315076567072639"
"ACSL4","PRKAA1","0.000818209791833446","0.237137938057673"
"ACSL4","ACSL1","0.000533193915167818","0.245174456930375"
"DMD","DSG2","7.31313098611963e-06","0.314173367243385"
"DMD","TPM2","9.58069179546328e-11","0.441260278429415"
"SOCS3","PML","0.00257563990124954","0.214173819005982"
"SOCS3","CASP8","0.0329064855123637","0.152456334151939"
"SOCS3","HSPA6","0.000612293945047915","0.242607489729215"
"SOCS3","LIF","8.95120046218167e-06","0.311292995198641"
"SOCS3","TNF","3.64824155774102e-07","0.353763307580665"
"SOCS3","IRAK4","2.68110605472494e-05","0.29510827772174"
"SOCS3","MAP3K14","2.03753263838813e-06","0.33172757128381"
"WWP1","UBE2K","1.44556093206738e-06","0.336262151923469"
"ACVR2B","RPS6KB2","0.000189832159921188","0.263541471905003"
"MAF","HHEX","0.0100160941368066","0.18355655679908"
"ETV1","HMGA2","1e-30","0.604643973394548"
"DLD","HIBCH","1.7430501486615e-12","0.476148172787177"
"SH3GLB1","FLT1","0.0169091392700795","0.170459530370474"
"SIRPA","MAP3K14","0.00010581254794495","0.273373727661637"
"SIRPA","TNF","0.028716998552857","0.156277633608228"
"NR3C2","PIK3CB","4.28488702595153e-05","0.287884184210506"
"RBM25","HSPA6","0.0206849497533494","0.165182945890073"
"POLR3G","CCNA1","4.1456615917923e-11","0.448888252766656"
"POLR3G","PDE4D","0.00382605606041153","0.20568486551724"
"POLR3G","MAP3K14","0.000103432126540737","0.273749011080483"
"CCNA1","E2F1","0.000734161036415548","0.239197414589635"
"CCNA1","RBL1","0.000478989970509769","0.247145522755758"
"CCNA1","TNF","0.0181069439647743","0.168683435561287"
"CCNA1","TCF7L1","8.02573998281986e-06","0.312851993546315"
"CCNA1","FLT1","0.00425109840863325","0.203369690775186"
"MAPK1","CAPN2","0.00180351385972544","0.221555520438402"
"MYC","RB1","0.041218280855029","0.145960910409943"
"VAV2","ACTN1","0.000165579660591275","0.265874923745095"
"PLCB1","SHANK2","0.0305829491593328","0.15452069405793"
"PLCB1","PDGFD","2.29853336364272e-09","0.410465028403804"
